,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
35,Maruti Alto 800 CNG LXI Optional,330000,10000,CNG,Individual,Manual,2,33.44,796,40.3,4.0,2
36,Maruti Alto K10 VXI Airbag,366000,15000,Petrol,Individual,Manual,1,23.95,998,67.1,5.0,2
37,Hyundai Verna VTVT 1.6 SX Option,1149000,5000,Petrol,Individual,Manual,1,17.0,1591,121.3,5.0,2
38,Datsun GO D,150000,42000,Petrol,Individual,Manual,1,20.63,1198,67.0,5.0,5
39,Tata Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,Individual,Manual,2,13.93,2179,138.03,7.0,10
40,Maruti 800 Std,150000,76000,Petrol,Individual,Manual,1,16.1,796,37.0,4.0,9
41,Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,Individual,Automatic,1,16.0,1368,160.77,5.0,2
42,Honda City i VTEC VX,925000,28900,Petrol,Dealer,Manual,1,17.8,1497,117.3,5.0,3
43,Honda City V MT,425000,86300,Petrol,Dealer,Manual,1,16.8,1497,116.3,5.0,8
44,Maruti Swift Dzire VXi AT,675000,23300,Petrol,Dealer,Automatic,1,18.5,1197,83.14,5.0,3
45,Maruti Vitara Brezza VDi,819999,32600,Diesel,Dealer,Manual,1,24.3,1248,88.5,5.0,3
46,Maruti Alto K10 VXI,390000,10300,Petrol,Dealer,Manual,1,23.95,998,67.05,5.0,3
47,Toyota Fortuner 4x4 MT,1500000,77000,Diesel,Dealer,Manual,1,12.55,2982,168.5,7.0,7
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,Dealer,Manual,1,12.99,2494,100.0,7.0,8
49,Mercedes-Benz B Class B180,1450000,27800,Diesel,Dealer,Automatic,2,14.8,2143,120.7,5.0,7
50,Honda Amaze S Diesel,425000,49800,Diesel,Dealer,Manual,1,24.7,1498,98.63,5.0,6
51,Mitsubishi Pajero Sport 4X4,1090000,151000,Diesel,Dealer,Manual,1,13.5,2477,175.56,7.0,8
52,Honda City i DTEC S,600000,54700,Diesel,Dealer,Manual,1,26.0,1498,98.6,5.0,6
53,Maruti Ciaz Zeta,850000,64000,Petrol,Dealer,Manual,1,20.65,1462,103.25,5.0,3
54,Honda Jazz VX Diesel,525000,63000,Diesel,Dealer,Manual,1,27.3,1498,98.6,5.0,6
55,Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,Dealer,Automatic,2,11.36,2755,171.5,7.0,5
56,Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,Dealer,Manual,1,12.99,2494,100.6,7.0,5
57,Audi A6 2.0 TDI Technology,1750000,33900,Diesel,Dealer,Automatic,2,17.68,1968,174.33,5.0,8
58,Toyota Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,Dealer,Automatic,1,14.28,1798,138.03,5.0,3
59,Audi A6 2.0 TDI  Design Edition,1689999,50000,Diesel,Dealer,Automatic,1,18.53,1968,187.74,5.0,8
60,Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic,1,14.84,2143,170.0,5.0,8
61,Tata Manza ELAN Quadrajet BS IV,265000,120000,Diesel,Individual,Manual,1,21.12,1248,88.8,5.0,10
62,Hyundai i10 Magna,190000,110000,Petrol,Individual,Manual,3,20.36,1197,78.9,5.0,10
63,Hyundai i20 Asta 1.4 CRDi,425000,60000,Diesel,Individual,Manual,1,21.27,1396,88.76,5.0,8
64,Maruti Swift Dzire ZDI,630000,147000,Diesel,Individual,Manual,2,26.59,1248,74.0,5.0,6
65,Ford Figo 1.2P Titanium MT,600000,25000,Petrol,Individual,Manual,3,18.16,1196,86.8,5.0,4
66,Maruti Baleno Delta 1.2,650000,30000,Petrol,Individual,Manual,1,21.4,1197,83.1,5.0,2
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,Individual,Manual,1,22.0,1498,108.495,5.0,5
68,Honda City i DTEC VX,630000,135000,Diesel,Individual,Manual,1,25.1,1498,98.6,5.0,6
69,Maruti Wagon R AMT VXI,448000,30000,Petrol,Individual,Automatic,1,20.51,998,67.0,5.0,3
70,Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,Diesel,Individual,Manual,1,21.66,1498,108.62,5.0,4
71,Maruti Vitara Brezza VDi,745000,70000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,5
72,Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,Individual,Automatic,1,24.3,1248,88.5,5.0,2
73,Hyundai i10 Magna,235000,60000,Petrol,Individual,Manual,2,20.36,1197,78.9,5.0,10
74,Maruti Swift VDI Deca,630000,70000,Diesel,Individual,Manual,1,25.2,1248,74.0,5.0,5
75,Toyota Fortuner 4x4 MT,1700000,78000,Diesel,Individual,Manual,2,12.55,2982,168.5,7.0,6
76,Maruti Swift Star VDI,450000,120000,Diesel,Individual,Manual,2,22.9,1248,74.0,5.0,8
77,Maruti Ertiga ZXI,450000,120000,Petrol,Individual,Manual,2,16.02,1373,93.7,7.0,9
79,Volkswagen Vento Diesel Highline,450000,170000,Diesel,Individual,Manual,1,20.54,1598,103.6,5.0,8
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,Individual,Manual,1,12.99,2494,100.6,8.0,5
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,Individual,Manual,1,22.77,1498,98.59,5.0,6
82,BMW X1 sDrive20i xLine,2500000,30000,Petrol,Individual,Automatic,2,15.71,1998,189.0,5.0,5
83,Maruti Celerio ZXI MT BSIV,484999,10000,Petrol,Dealer,Manual,1,23.1,998,67.04,5.0,4
84,Datsun GO A Petrol,275000,49000,Petrol,Dealer,Manual,1,19.02,1198,67.05,5.0,5
85,Maruti Alto 800 VXI BSIV,315000,32000,Petrol,Dealer,Manual,1,24.7,796,47.3,5.0,5
86,Maruti Alto 800 LXI BSIV,275000,38000,Petrol,Dealer,Manual,1,24.7,796,47.3,5.0,5
88,Hyundai i10 Era 1.1,290000,28000,Petrol,Dealer,Manual,1,19.81,1086,68.05,5.0,9
89,Maruti Omni 8 Seater BSIV,280000,32000,Petrol,Dealer,Manual,1,14.0,796,35.0,5.0,4
90,Maruti Wagon R LXI LPG BSIV,225000,44000,LPG,Dealer,Manual,1,26.2,998,58.2,5.0,11
91,Volkswagen Polo 1.2 MPI Comfortline,455000,42000,Petrol,Dealer,Manual,1,16.47,1198,74.0,5.0,6
92,Hyundai i10 Magna 1.1L,351000,45000,Petrol,Dealer,Manual,2,19.81,1086,68.05,5.0,6
93,Volkswagen Vento Petrol Highline,535000,12000,Petrol,Dealer,Manual,2,15.04,1598,103.6,5.0,9
94,Maruti Zen Estilo LXI BSIII,175000,55500,Petrol,Dealer,Manual,1,18.2,998,67.1,5.0,12
95,Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,Dealer,Manual,1,18.5,1197,82.85,5.0,8
96,Maruti Swift Dzire LDI,600000,150000,Diesel,Individual,Manual,1,26.59,1248,74.0,5.0,5
97,Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,Dealer,Automatic,1,19.1,1197,82.0,5.0,5
98,Maruti Alto LX BSIII,120000,68000,Petrol,Dealer,Manual,3,19.7,796,46.3,5.0,13
99,Hyundai i20 1.4 Asta Option,725000,110000,Diesel,Individual,Manual,1,22.54,1396,88.73,5.0,4
100,Maruti Wagon R VXI,185000,77000,Petrol,Dealer,Manual,2,21.79,998,67.05,5.0,12
101,Tata Manza Aura (ABS) Quadrajet,200000,100000,Diesel,Individual,Manual,2,18.8,1248,90.0,5.0,11
102,Maruti Swift VXI,615000,10000,Petrol,Individual,Manual,1,21.21,1197,81.8,5.0,2
103,Maruti Eeco 7 Seater Standard BSIV,270000,100000,Petrol,Individual,Manual,3,15.37,1196,73.0,7.0,5
104,Maruti Baleno Zeta 1.2,610000,35000,Petrol,Individual,Manual,1,21.4,1197,83.1,5.0,3
105,Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,Individual,Automatic,2,11.79,2179,120.0,8.0,7
106,Ford Freestyle Titanium Petrol BSIV,400000,5000,Petrol,Individual,Manual,2,19.0,1194,94.68,5.0,1
107,Hyundai Verna VTVT 1.6 SX,866000,37800,Petrol,Individual,Manual,1,17.0,1591,121.3,5.0,4
108,Volkswagen Passat 1.8 TSI MT,700000,114000,Petrol,Individual,Manual,1,14.3,1798,160.0,5.0,11
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,Individual,Manual,1,15.8,1172,65.0,5.0,11
110,Mahindra XUV500 W11 Option AWD,1700000,32000,Diesel,Individual,Manual,1,15.1,2179,155.0,7.0,2
111,Tata Indigo CS LS (TDI) BS-III,375000,100000,Diesel,Individual,Manual,1,19.09,1405,69.01,5.0,5
112,Hyundai Verna 1.6 SX,522000,150000,Diesel,Individual,Manual,2,22.32,1582,126.32,5.0,8
113,Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,Individual,Manual,1,21.9,1396,88.76,5.0,8
114,Toyota Corolla Altis G,300000,100000,Petrol,Individual,Manual,2,14.53,1798,138.1,5.0,12
115,Maruti Celerio VXI,475000,13000,Petrol,Individual,Manual,1,21.63,998,67.04,5.0,1
116,Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,5
117,Maruti Swift Dzire VXI,595000,40000,Petrol,Individual,Manual,1,20.85,1197,83.14,5.0,4
118,Maruti Wagon R VXI BS IV,440000,35000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,4
120,Nissan Terrano XL 85 PS,400000,70000,Diesel,Individual,Manual,3,20.45,1461,83.8,5.0,7
121,Hyundai Creta 1.6 CRDi SX,1140000,50000,Diesel,Individual,Manual,1,19.67,1582,126.2,5.0,5
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,Individual,Manual,1,23.0,1498,98.96,5.0,4
123,Maruti Swift Dzire VDi,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5.0,9
124,Renault KWID 1.0,350000,25000,Petrol,Individual,Manual,1,23.01,999,67.0,5.0,3
125,Maruti Celerio VXI,360000,40000,Petrol,Individual,Manual,2,23.1,998,67.04,5.0,6
126,Maruti Alto LXi,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5.0,13
127,Maruti Ertiga VDI,625000,90000,Diesel,Individual,Manual,2,20.77,1248,88.76,7.0,8
128,Hyundai Santro Xing GLS,135000,80000,Petrol,Individual,Manual,2,17.92,1086,62.1,5.0,12
129,Maruti Ertiga VDI,700000,110000,Diesel,Individual,Manual,2,20.77,1248,88.76,7.0,6
130,Honda Amaze S i-VTEC,690000,1303,Petrol,Dealer,Manual,1,17.8,1198,86.7,5.0,2
131,Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Dealer,Automatic,1,17.01,1968,188.0,5.0,3
132,Lexus ES 300h,5150000,20000,Petrol,Dealer,Automatic,1,22.37,2487,214.56,5.0,2
133,Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Dealer,Automatic,1,19.33,1999,177.0,5.0,4
134,Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Individual,Automatic,1,9.5,3604,280.0,5.0,4
135,Land Rover Discovery Sport TD4 SE,4500000,21000,Diesel,Dealer,Automatic,1,12.83,1999,148.31,7.0,2
136,Mercedes-Benz S-Class S 350 CDI,6000000,37000,Diesel,Dealer,Automatic,1,13.5,2987,254.79,5.0,4
137,BMW 5 Series 520d Sport Line,3790000,29500,Diesel,Dealer,Automatic,1,22.48,1995,187.74,5.0,3
139,BMW X4 M Sport X xDrive20d,5800000,7500,Diesel,Dealer,Automatic,1,16.78,1995,190.0,5.0,2
140,Skoda Superb LK 1.8 TSI AT,1864999,50000,Petrol,Dealer,Automatic,1,14.67,1798,177.46,5.0,3
141,Mercedes-Benz E-Class E250 Edition E,2700000,35000,Diesel,Dealer,Automatic,1,15.0,2143,204.0,5.0,5
142,MG Hector Sharp AT BSIV,1750000,19000,Petrol,Dealer,Automatic,1,13.96,1451,141.0,5.0,2
143,Honda City i-VTEC CVT VX,795000,41000,Petrol,Dealer,Automatic,1,18.0,1497,117.6,5.0,4
144,Toyota Corolla Altis 1.8 G CVT,625000,39000,Petrol,Dealer,Automatic,1,14.28,1798,138.03,5.0,8
145,Volvo XC40 D4 R-Design,3400000,22000,Diesel,Dealer,Automatic,1,18.0,1969,190.0,5.0,3
146,Audi Q7 35 TDI Quattro Premium,2650000,53000,Diesel,Dealer,Automatic,1,12.07,2967,241.4,7.0,6
147,Maruti Ciaz ZDi,535000,40000,Diesel,Dealer,Manual,1,26.21,1248,88.5,5.0,6
148,Mercedes-Benz S-Class S 350 CDI,5850000,47000,Diesel,Dealer,Automatic,1,13.5,2987,282.0,5.0,4
149,BMW 5 Series 523i,975000,72200,Petrol,Dealer,Automatic,2,10.8,2497,150.0,5.0,11
150,Hyundai Elantra S,805000,49900,Petrol,Dealer,Manual,1,16.3,1797,147.5,5.0,5
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Dealer,Automatic,1,13.6,1999,177.0,5.0,4
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,Dealer,Manual,1,17.0,1198,108.5,5.0,3
153,Volkswagen Vento Petrol Highline,375000,49000,Petrol,Individual,Manual,1,15.04,1598,103.6,5.0,10
154,Hyundai Elantra SX,550000,95000,Petrol,Individual,Manual,1,16.3,1797,147.5,5.0,9
155,Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Dealer,Automatic,1,14.3,1598,103.5,5.0,5
156,Mercedes-Benz CLA 200 CGI Sport,2550000,18000,Petrol,Dealer,Automatic,1,15.04,1991,183.0,5.0,3
157,Maruti Ertiga ZXI,599000,46100,Petrol,Dealer,Manual,1,16.02,1373,93.7,7.0,7
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,Dealer,Automatic,1,14.74,1991,181.04,5.0,4
159,Honda City V AT,875000,18000,Petrol,Dealer,Automatic,1,15.6,1497,116.3,5.0,4
160,Toyota Glanza V CVT,894999,9654,Petrol,Dealer,Automatic,1,19.56,1197,81.8,5.0,2
161,Maruti Alto K10 VXI,175000,11000,Petrol,Dealer,Manual,1,23.95,998,67.05,5.0,10
162,Maruti Swift VXI,340000,24300,Petrol,Dealer,Manual,1,21.21,1197,81.8,5.0,9
163,Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,Dealer,Automatic,2,11.36,2755,171.5,7.0,5
164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,Dealer,Automatic,1,21.5,1497,108.5,5.0,3
165,BMW 3 Series 320d Luxury Line,2150000,30000,Diesel,Dealer,Automatic,1,22.69,1995,190.0,5.0,5
166,Toyota Camry 2.5 Hybrid,1900000,41000,Petrol,Dealer,Automatic,1,19.16,2494,157.7,5.0,5
167,BMW 5 Series 520d Luxury Line,2900000,12000,Diesel,Dealer,Automatic,1,18.12,1995,190.0,5.0,5
168,Toyota Camry W4 (AT),450000,71000,Petrol,Dealer,Automatic,1,12.1,2362,164.7,5.0,12
169,Maruti Ertiga BSIV ZXI Plus,850000,20000,Petrol,Individual,Manual,1,17.5,1373,91.1,7.0,5
170,Volvo XC90 T8 Excellence BSIV,10000000,30000,Petrol,Individual,Automatic,1,42.0,1969,400.0,4.0,4
171,Volkswagen Vento Diesel Highline,300000,100000,Diesel,Individual,Manual,2,20.54,1598,103.6,5.0,10
172,Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,Individual,Manual,1,18.16,1196,86.8,5.0,3
173,Ford Figo Diesel LXI,160000,120000,Diesel,Individual,Manual,1,20.0,1399,68.0,5.0,10
174,Maruti Swift VXI Optional,515000,36600,Petrol,Individual,Manual,1,20.4,1197,81.8,5.0,6
175,Maruti Wagon R AMT VXI,390000,50000,Petrol,Individual,Automatic,2,20.51,998,67.0,5.0,6
176,Hyundai i20 Magna 1.2,550000,14000,Petrol,Individual,Manual,2,18.6,1197,81.83,5.0,5
177,Maruti 800 Std,40000,40000,Petrol,Individual,Manual,2,16.1,796,37.0,4.0,22
178,Maruti Ritz VDi,220000,120000,Diesel,Individual,Manual,1,21.1,1248,73.9,5.0,11
179,Hyundai Grand i10 Magna,425000,70000,Petrol,Individual,Manual,1,18.9,1197,82.0,5.0,6
180,Volkswagen Ameo 1.0 MPI Trendline,480000,13000,Petrol,Individual,Manual,1,19.44,999,75.0,5.0,2
181,Hyundai Grand i10 Sportz,400000,60000,Petrol,Individual,Manual,2,18.9,1197,82.0,5.0,7
182,Maruti Swift Dzire VXI,487000,35000,Petrol,Individual,Manual,1,19.1,1197,85.8,5.0,7
183,Hyundai Xcent 1.2 Kappa S,386000,44000,Petrol,Individual,Manual,2,19.1,1197,82.0,5.0,5
184,Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual,2,13.0,1493,100.0,5.0,16
185,Toyota Corolla Altis Diesel D4DG,300000,60000,Diesel,Individual,Manual,1,21.43,1364,87.2,5.0,11
186,Daewoo Matiz SD,100000,60000,Petrol,Individual,Manual,1,18.5,796,53.0,5.0,21
187,Toyota Fortuner 4x2 Manual,1750000,30000,Diesel,Individual,Manual,2,13.0,2982,168.5,7.0,7
188,Mahindra KUV 100 mFALCON G80 K8,450000,15000,Petrol,Individual,Manual,2,18.15,1198,82.0,6.0,5
189,Tata Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,Individual,Manual,1,22.95,1248,74.0,5.0,4
190,Honda City 1.5 S MT,345000,47000,Petrol,Individual,Manual,2,17.0,1497,118.0,5.0,12
191,Maruti Zen LXI,85000,90000,Petrol,Individual,Manual,1,17.3,993,60.0,5.0,16
192,Maruti Wagon R VXI BS IV with ABS,215000,120600,Petrol,Individual,Manual,2,18.9,998,67.1,5.0,11
193,Hyundai Verna Transform SX VTVT,320000,100000,Petrol,Individual,Manual,3,16.2,1599,103.2,5.0,11
194,Maruti Swift Dzire VXI,459999,60000,Petrol,Individual,Manual,2,20.85,1197,83.14,5.0,5
195,Hyundai Getz GLS,65000,86000,Petrol,Individual,Manual,1,15.3,1341,83.0,5.0,16
196,Hyundai Elite i20 Sportz Plus BSIV,720000,5000,Petrol,Individual,Manual,1,18.6,1197,81.86,5.0,1
197,Maruti Ciaz 1.3 Alpha,800000,37000,Diesel,Individual,Manual,1,28.09,1248,88.5,5.0,4
198,Tata Tigor 1.2 Revotron XZ,520000,14000,Petrol,Individual,Manual,1,20.3,1199,84.0,5.0,2
199,Maruti Ertiga VDI,580000,70000,Diesel,Individual,Manual,1,20.77,1248,88.76,7.0,6
201,Honda City i VTEC S,600000,50000,Petrol,Individual,Manual,1,17.4,1497,117.3,5.0,6
202,Honda Brio S MT,290000,60000,Petrol,Individual,Manual,2,19.4,1198,86.8,5.0,7
203,Maruti Wagon R LXI CNG,360000,50000,CNG,Individual,Manual,1,26.6,998,58.16,5.0,5
204,Maruti Swift Dzire VXI,550000,50000,Petrol,Individual,Manual,1,20.85,1197,83.14,5.0,4
205,Hyundai i20 Sportz 1.2,375000,70000,Petrol,Individual,Manual,1,18.5,1197,82.85,5.0,8
207,Maruti Wagon R AMT VXI,420000,35000,Petrol,Individual,Automatic,1,20.51,998,67.0,5.0,3
208,Maruti Swift Dzire VXI 1.2,550000,20000,Petrol,Individual,Manual,1,21.21,1197,81.8,5.0,4
209,Maruti Alto 800 LXI,270000,20000,Petrol,Individual,Manual,1,24.7,796,47.3,5.0,3
210,Maruti Swift Dzire AMT VXI BS IV,700000,7800,Petrol,Individual,Automatic,1,22.0,1197,81.8,5.0,3
211,Maruti Swift VXI Optional,500000,20000,Petrol,Individual,Manual,1,20.4,1197,81.8,5.0,4
212,Tata Hexa XE,1250000,15000,Diesel,Individual,Manual,1,17.6,2179,147.94,7.0,2
213,Hyundai i20 Magna,320000,31377,Petrol,Individual,Manual,2,18.5,1197,82.85,5.0,8
214,Maruti Swift Dzire VDI,700000,50000,Diesel,Individual,Manual,1,28.4,1248,74.02,5.0,3
215,Maruti Wagon R VXI BS IV,290000,60000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,6
216,Toyota Corolla Altis 1.8 VL AT,550000,100000,Petrol,Individual,Automatic,1,14.53,1794,138.1,5.0,9
217,Honda Brio S MT,265000,60000,Petrol,Individual,Manual,1,19.4,1198,86.8,5.0,9
218,Maruti Baleno Alpha Automatic,830000,5000,Petrol,Individual,Automatic,1,21.4,1197,83.1,5.0,3
219,Tata Safari Storme EX,800000,60000,Diesel,Individual,Manual,1,14.1,2179,147.94,7.0,4
220,Maruti Alto LXi,160000,25000,Petrol,Individual,Manual,2,19.7,796,46.3,5.0,10
221,Renault KWID RXT,335000,30000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,3
222,Datsun GO T BSIV,329000,80000,Petrol,Individual,Manual,2,20.63,1198,67.0,5.0,4
223,Maruti Vitara Brezza VDi Option,775000,75000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,4
224,Hyundai Xcent 1.2 VTVT SX,524000,32000,Petrol,Individual,Manual,1,20.14,1197,81.86,5.0,1
225,Maruti Alto 800 LXI,245000,40000,Petrol,Individual,Manual,1,22.74,796,47.3,5.0,6
226,Hyundai i20 1.2 Sportz,275000,93000,Petrol,Individual,Manual,2,17.0,1197,80.0,5.0,9
227,Tata Zest Revotron 1.2 XT,520000,60000,Petrol,Individual,Manual,1,17.57,1193,88.7,5.0,3
229,Nissan Sunny XL,550000,37000,Petrol,Individual,Manual,1,16.95,1498,97.7,5.0,7
230,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,Petrol,Individual,Manual,1,17.0,1497,121.36,5.0,3
231,Nissan Micra Active XV S,300000,80000,Petrol,Individual,Manual,1,19.49,1198,67.04,5.0,6
232,Maruti Wagon R LXI Optional,350000,140000,Petrol,Individual,Manual,1,20.51,998,67.04,5.0,5
233,Mahindra Ssangyong Rexton RX5,900000,70000,Diesel,Individual,Manual,1,12.83,2696,162.0,7.0,8
234,Mahindra Quanto C8,300000,120000,Diesel,Individual,Manual,2,17.21,1493,100.0,7.0,8
235,Maruti Ritz LDi,250000,110000,Diesel,Individual,Manual,2,21.1,1248,73.9,5.0,11
236,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,Diesel,Individual,Manual,1,19.67,1582,126.2,5.0,4
237,Renault KWID RXT,270000,44000,Petrol,Individual,Manual,1,25.17,799,53.3,5.0,5
238,Maruti Ertiga VDI,640000,80000,Diesel,Individual,Manual,1,20.77,1248,88.76,7.0,6
239,Mahindra XUV500 W4,650000,125000,Diesel,Individual,Manual,1,15.1,2179,140.0,7.0,6
240,Maruti Eeco 5 Seater AC BSIV,409999,13500,Petrol,Individual,Manual,1,15.37,1196,73.0,5.0,4
241,Hyundai Santro Xing GLS,165000,75000,Petrol,Individual,Manual,1,17.92,1086,62.1,5.0,10
242,Hyundai Accent GLE,80000,120000,Petrol,Individual,Manual,2,13.2,1495,94.0,5.0,14
243,Mahindra XUV500 W8 2WD,535000,120000,Diesel,Individual,Manual,1,15.1,2179,140.0,7.0,9
244,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,70000,Diesel,Individual,Manual,1,12.99,2494,100.57,7.0,8
245,Maruti Swift Dzire VDI,550000,70000,Diesel,Individual,Manual,1,23.4,1248,74.0,5.0,8
246,Honda Amaze S CVT Petrol BSIV,680000,15000,Petrol,Individual,Automatic,1,19.0,1199,88.76,5.0,2
247,Hyundai i10 Sportz 1.2,200000,53000,Petrol,Individual,Manual,2,20.36,1197,78.9,5.0,12
